# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff
ECSPGSQL;60;1430496978;7.14;15826.34;14161.00;0.00;6408.52;0.00;0.00;0.00;0.00
ECSPGSQL;60;1430497038;5.60;14197.70;7296.70;0.00;5220.65;0.00;0.00;0.00;0.00
ECSPGSQL;60;1430497098;5.20;13985.00;7149.22;0.00;5155.13;0.00;0.00;0.00;0.00
ECSPGSQL;60;1430497158;5.40;13794.27;7415.48;0.00;5070.58;0.00;0.00;0.00;0.00
ECSPGSQL;60;1430497218;5.27;14002.27;7227.40;0.00;4873.60;0.00;0.00;0.00;0.00
ECSPGSQL;60;1430497278;5.33;14202.33;7199.10;0.00;4659.25;0.00;0.00;0.00;0.00
ECSPGSQL;60;1430497338;5.40;13713.91;8130.08;0.00;4912.30;0.00;0.00;0.00;0.00
ECSPGSQL;60;1430497398;5.13;13437.64;7703.83;0.00;4942.72;0.00;0.00;0.00;0.00
ECSPGSQL;60;1430497458;5.33;14050.21;8144.27;0.00;5539.52;0.00;0.00;0.00;0.00
ECSPGSQL;60;1430497518;5.20;13957.15;7890.19;0.00;5192.12;0.00;0.00;0.00;0.00
